scenario_id,theme,breed,pattern,severity_multiplier,wear_quality,noise_dispersion,questionnaire_behavior,n_events_generated,n_days_generated,description
chronic_high_severe_goldendoodle_start_01,acute_step_onset,金毛,chronic_high_from_start,4.0,good,low,answered_consistent,402,35,金毛从第0天起就持续高强度抓挠(4倍)，测试模型能否在没有干净基线的情况下识别慢性重度病例，而不是误判为该犬的正常基线
chronic_high_mild_boundary_bichon_02,acute_step_onset,比熊,chronic_high_from_start,1.31,good,low,not_triggered,89,32,比熊全程维持刚超过1.3倍变化阈值的轻微高位，测试模型在'几乎不算异常'的边界上是否会误报为C1/C2
step_onset_mild_late_maltese_03,acute_step_onset,马尔济斯,step_onset,1.45,good,low,answered_consistent,78,45,低基线马尔济斯在观察期很晚(第38天)才轻微阶跃上升(1.45倍)，测试模型对低基线狗小幅绝对增量+晚发作的敏感度
step_onset_moderate_early_tugou_04,acute_step_onset,中华田园犬,step_onset,1.8,good,medium,answered_consistent,147,30,中华田园犬在基线窗口刚结束(第22天)即阶跃至1.8倍明显水平，测试模型对刚建立基线就立刻发作的响应速度
step_onset_severe_high_baseline_goldendoodle_05,acute_step_onset,金毛,step_onset,3.2,good,medium,answered_consistent,1709,40,高基线金毛(22次/天)阶跃3.2倍后绝对次数暴增，测试模型能否处理高基线狗同等倍数下的巨大绝对增量而不被数值尺度干扰
step_onset_severe_low_baseline_maltese_06,acute_step_onset,马尔济斯,step_onset,3.2,good,low,answered_consistent,80,40,低基线马尔济斯(1次/天)同样阶跃3.2倍，与05号场景形成对照，绝对增量很小但相对倍数相同，测试模型是否学到相对变化而非绝对次数
step_onset_boundary_2x_bichon_07,acute_step_onset,比熊,step_onset,2.0,good,medium,no_answer,226,36,比熊阶跃恰好卡在2.0倍显著阈值边界，用户未填问答，测试模型仅凭IMU信号在C1/C2边界的判定能力
step_onset_boundary_3x_tugou_08,acute_step_onset,中华田园犬,step_onset,3.0,partial,medium,answered_conflicting_worse,373,38,中华田园犬阶跃恰好卡在3.0倍严重阈值边界，部分天佩戴不足12小时且用户主诉比IMU信号更严重，测试数据质量缺陷与问答冲突下的边界判定
chronic_high_severe_sparse_history_maltese_09,acute_step_onset,马尔济斯,chronic_high_from_start,3.5,sparse_history,medium,no_answer,65,9,马尔济斯历史很短即进入高强度状态，测试冷启动场景下模型能否在缺乏足够基线历史时仍正确识别重度异常
step_onset_mild_night_focused_goldendoodle_10,acute_step_onset,金毛,step_onset,1.5,good,low,answered_consistent,168,34,金毛轻微阶跃(1.5倍边界)但几乎全部集中在夜间并伴随睡眠中断，测试模型能否结合night_ratio特征识别总量增幅不大但夜间困扰显著的病例
step_onset_moderate_loose_collar_tugou_11,acute_step_onset,中华田园犬,step_onset,2.4,loose_days,high,answered_conflicting_better,304,33,中华田园犬本身次数天然高波动(noise_dispersion=high)且发作期部分天项圈松动，用户问答反而比IMU信号轻，测试模型对高天然噪声狗的抗误报能力
chronic_high_moderate_off_body_bichon_12,acute_step_onset,比熊,chronic_high_from_start,2.2,off_body_days,medium,answered_consistent,144,31,比熊从始至终中度偏高(2.2倍)，期间有若干天设备被摘下造成数据缺口，测试模型在存在缺失数据段时对持续性病程的判定稳健性
step_onset_severe_late_clustered_goldendoodle_13,acute_step_onset,金毛,step_onset,4.5,good,low,answered_consistent,226,50,金毛在观察期后期(第44天)突发极严重阶跃(4.5倍)并高度聚集，测试模型对时间窗口靠后、变化剧烈且信号高度聚集的重度急性发作的快速识别
step_onset_boundary_1_5x_early_maltese_14,acute_step_onset,马尔济斯,step_onset,1.5,good,low,no_answer,65,30,马尔济斯在基线窗口刚满(第21天)即阶跃至1.5倍(轻微/明显边界)，测试模型在最短可用基线长度下对边界严重度的判定
ramp_slow_mild_goldendoodle_01,gradual_chronic,金毛,ramp_onset,1.35,good,low,not_triggered,159,45,25天缓慢线性爬升到刚超过1.3倍轻微变化阈值边界，验证模型能否识别极缓慢、幅度极小的渐进恶化而不被基线噪声掩盖
ramp_fast_severe_tianyuan_01,gradual_chronic,中华田园犬,ramp_onset,4.2,good,medium,answered_consistent,404,38,仅10天内快速爬升到严重程度(4.2倍)，叠加睡眠中断和长时抓挠红旗信号，验证模型对快速恶化型慢性病程的敏感度
